number,lable,name,length,width,height,length/width,height/length,width/height,AvgCurvature,Ellipticity,Sphericity
73,Vignadula_atrata,RCB4,3.092707038,6.395164013,2.41802609,0.483600895,0.781847766,2.644787019,0.209558401,8.071653695,0.784022749
74,Vignadula_atrata,RCB9,2.708793998,5.425180912,3.457093954,0.499300215,1.276248381,1.569289404,0.129604089,8.014883036,0.826729354
75,Vignadula_atrata,RS11,4.238925934,7.733844995,4.319905996,0.54810071,1.019103911,1.790280854,0.166355083,7.793427565,0.796350532
76,Vignadula_atrata,RS12,4.045444012,8.685062885,5.716114044,0.46579329,1.41297569,1.519399861,0.128404935,8.119959038,0.808963943
77,Vignadula_atrata,RS13,6.066073895,9.504086971,4.66459012,0.63825951,0.768963617,2.037496699,0.180816589,8.058918595,0.816041886
78,Vignadula_atrata,RS19,4.650704145,8.287229061,7.85926795,0.561189284,1.689909249,1.05445305,0.133712642,8.05601242,0.806216451
79,Vignadula_atrata,RS21,4.21126914,7.668267012,3.664111972,0.549181338,0.870073094,2.092803678,0.147655554,7.819906273,0.802755268
80,Vignadula_atrata,RS22,0.039664,0.08286,0.03744,0.478686943,0.943929,2.213141031,0.156285906,8.258411725,0.813876998
81,Vignadula_atrata,RS24,5.250703096,7.557359934,4.095340967,0.694780074,0.779960491,1.845355489,0.136968736,7.779498962,0.857013536
82,Vignadula_atrata,RS4,4.388050079,9.341823101,4.384732962,0.469720956,0.999244057,2.130534102,0.140127865,8.354142887,0.829496192
83,Vignadula_atrata,RS5,5.794844151,8.133897066,3.893846989,0.712431459,0.671950252,2.088910296,0.165072487,8.09834762,0.778930091
84,Vignadula_atrata,RSB1,3.77560997,8.24127984,4.657732964,0.458133936,1.233637214,1.769375768,0.143437155,8.331583278,0.827119037
85,Vignadula_atrata,RSB11,4.054192066,9.121407032,4.958474159,0.444470031,1.223048656,1.839559255,0.116080265,8.352927146,0.819247886
86,Vignadula_atrata,RSB12,4.489210844,7.665035009,6.625099897,0.585673886,1.475782744,1.156968971,0.163179519,8.412649697,0.842597806
87,Vignadula_atrata,RSB2,7.39934516,7.59381485,4.131392002,0.974391041,0.558345626,1.838076572,0.114317852,8.34427588,0.833029697
88,Vignadula_atrata,RSB21,4.26951611,6.804075956,4.365720987,0.627493893,1.02253297,1.558522859,0.118703663,8.292849003,0.83501702
89,Vignadula_atrata,RSB22,4.000004888,8.260634899,4.069386959,0.484224873,1.017345497,2.029945784,0.218185032,8.359372661,0.819948568
90,Vignadula_atrata,RSB23,3.641904116,7.561104059,3.650392056,0.481663007,1.002330632,2.071312874,0.220419765,8.210509694,0.826811387
91,Vignadula_atrata,RSB3,5.303660154,9.175594807,4.126520872,0.57801813,0.778051525,2.223566799,0.205960558,8.290296916,0.80165747
92,Vignadula_atrata,RSB4,0.039702998,0.072583999,0.050859999,0.546993811,1.281011532,1.427133328,0.113472527,8.344890059,0.845310387
93,Vignadula_atrata,RSB5,7.035950899,8.749917984,4.752678156,0.804116211,0.675484838,1.841049972,0.114563477,8.411244955,0.846179616
94,Vignadula_atrata,RSB7,4.540722013,8.838557243,5.436148882,0.513740183,1.197199227,1.625885794,0.144341739,8.294619215,0.847637342
95,Vignadula_atrata,RSB8,4.398139954,8.571210146,6.332570791,0.513129404,1.439829305,1.353511935,0.152372473,8.345379261,0.818191754
96,Vignadula_mangle,SJW1,5.565953016,4.664573193,2.474597931,1.193239507,0.444595548,1.884982257,0.133286556,7.475054916,0.798968623
97,Vignadula_mangle,SJW5,0.053014001,0.115674999,0.068209002,0.458301288,1.286622414,1.695890507,0.110478656,8.251850108,0.822960465
98,Vignadula_mangle,SYG1,5.476482153,11.63499165,6.456695795,0.470690682,1.178986001,1.802003999,0.154243013,8.230781653,0.814517623
99,Vignadula_mangle,SYG11,3.637876987,8.52220726,5.048625112,0.426870279,1.387794345,1.688025368,0.288124453,7.815206264,0.775262581
